,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
243,BGK Walker ,2000-2002,11,7,4,47,16*,15.66,79,59.49,0,0,0,3,0,NEW ZEALAND
244,MDJ Walker ,2003-2003,3,1,0,10,10,10.00,6,166.66,0,0,0,2,0,NEW ZEALAND
245,KP Walmsley ,2003-2003,2,-,-,-,-,-,-,-,-,-,-,-,-,NEW ZEALAND
246,BJ Watling ,2010-2018,28,25,2,573,96*,24.91,838,68.37,0,5,3,58,3,NEW ZEALAND
247,W Watson ,1986-1994,61,24,13,86,21,7.81,180,47.77,0,0,3,6,2,NEW ZEALAND
248,PN Webb ,1983-1984,5,5,1,38,10*,9.50,101,37.62,0,0,0,4,0,NEW ZEALAND
249,RJ Webb ,1983-1983,3,1,1,6,6*,-,10,60.00,0,0,0,1,0,NEW ZEALAND
250,BM Wheeler ,2015-2015,6,4,4,58,39*,-,47,123.40,0,0,0,4,3,NEW ZEALAND
251,DJ White ,1990-1990,3,3,0,37,15,12.33,97,38.14,0,0,0,1,0,NEW ZEALAND
252,KS Williamson ,2010-2020,151,144,14,6173,148,47.48,7551,81.75,13,39,5,563,49,NEW ZEALAND
253,JW Wilson ,1993-2005,6,6,1,103,44*,20.60,112,91.96,0,0,1,7,1,NEW ZEALAND
254,PJ Wiseman ,1998-2003,15,7,5,45,16,22.50,83,54.21,0,0,0,3,1,NEW ZEALAND
255,WA Wisneski ,2000-2000,3,2,1,10,6,10.00,17,58.82,0,0,0,1,0,NEW ZEALAND
256,LJ Woodcock ,2011-2011,4,2,1,14,11,14.00,22,63.63,0,0,0,1,0,NEW ZEALAND
257,GH Worker ,2015-2018,10,10,2,272,58,34.00,379,71.76,0,3,0,23,3,NEW ZEALAND
258,JG Wright ,1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9,370+,15+,NEW ZEALAND
259,BA Young ,1990-1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5,164,2,NEW ZEALAND
260,WA Young ,2021-2021,2,2,1,12,11*,12.00,13,92.30,0,0,0,2,0,NEW ZEALAND
261,VR Aaron ,2011-2014,9,3,2,8,6*,8.00,15,53.33,0,0,1,1,0,INDIA
262,S Abid Ali ,1974-1975,5,3,0,93,70,31.00,132,70.45,0,1,0,6,1,INDIA
263,AB Agarkar ,1998-2007,191,113,26,1269,95,14.58,1574,80.62,0,3,10,103,22,INDIA
264,MA Agarwal ,2020-2020,5,5,0,86,32,17.20,83,103.61,0,0,0,12,1,INDIA
265,KK Ahmed ,2018-2019,11,3,1,9,5,4.50,17,52.94,0,0,0,1,0,INDIA
266,M Amarnath ,1975-1989,85,75,12,1924,102*,30.53,3334,57.70,2,13,2,123+,9+,INDIA
267,S Amarnath ,1978-1978,3,3,0,100,62,33.33,119,84.03,0,1,0,4+,0+,INDIA
268,PK Amre ,1991-1994,37,30,5,513,84*,20.52,799,64.20,0,2,1,28,2,INDIA
269,SA Ankola ,1989-1997,20,13,4,34,9,3.77,42,80.95,0,0,5,1,1,INDIA
270,Arshad Ayub ,1987-1990,32,17,7,116,31*,11.60,162,71.60,0,0,1,6,0,INDIA
271,B Arun ,1986-1987,4,3,1,21,8,10.50,32,65.62,0,0,0,2,0,INDIA
272,J Arun Lal ,1982-1989,13,13,0,122,51,9.38,232,52.58,0,1,4,10,1,INDIA
273,R Ashwin ,2010-2017,111,61,19,675,65,16.07,776,86.98,0,1,6,59,6,INDIA
274,KBJ Azad ,1980-1986,25,21,2,269,39*,14.15,400,67.25,0,0,3,19+,9+,INDIA
275,M Azharuddin ,1985-2000,334,308,54,9378,153*,36.92,12669,74.02,7,58,9,622+,77+,INDIA
276,HK Badani ,2000-2004,40,36,10,867,100,33.34,1180,73.47,1,4,1,68,10,INDIA
277,S Badrinath ,2008-2011,7,6,1,79,27*,15.80,172,45.93,0,0,0,4,0,INDIA
278,SV Bahutule ,1997-2003,8,4,1,23,11,7.66,29,79.31,0,0,0,2,0,INDIA
279,L Balaji ,2002-2009,30,16,6,120,21*,12.00,152,78.94,0,0,2,8,3,INDIA
280,ST Banerjee ,1991-1992,6,5,3,49,25*,24.50,42,116.66,0,0,0,2,1,INDIA
281,SB Bangar ,2002-2004,15,15,2,180,57*,13.84,239,75.31,0,1,3,14,3,INDIA
282,AC Bedade ,1994-1994,13,10,3,158,51,22.57,183,86.33,0,1,0,11,5,INDIA
283,BS Bedi ,1974-1979,10,7,2,31,13,6.20,70,44.28,0,0,1,1+,0,INDIA
284,A Bhandari ,2000-2004,2,1,1,0,0*,-,0,-,0,0,0,0,0,INDIA
285,Bhupinder Singh ,1994-1994,2,1,0,6,6,6.00,13,46.15,0,0,0,0,0,INDIA
286,RMH Binny ,1980-1987,72,49,10,629,57,16.12,1046,60.13,0,1,4,51+,1+,INDIA
287,STR Binny ,2014-2015,14,11,3,230,77,28.75,246,93.49,0,1,1,23,5,INDIA
288,GK Bose ,1974-1974,1,1,0,13,13,13.00,18,72.22,0,0,0,1,0,INDIA
289,JJ Bumrah ,2016-2020,67,17,11,19,10*,3.16,49,38.77,0,0,5,2,1,INDIA
290,YS Chahal ,2016-2021,56,10,4,53,18*,8.83,90,58.88,0,0,1,7,0,INDIA
291,DL Chahar ,2018-2021,5,3,2,87,69*,87.00,104,83.65,0,1,0,8,1,INDIA
292,RD Chahar ,2021-2021,1,1,0,13,13,13.00,25,52.00,0,0,0,0,0,INDIA
293,BS Chandrasekhar ,1976-1976,1,1,1,11,11*,-,13,84.61,0,0,0,-,-,INDIA
294,VB Chandrasekhar ,1988-1990,7,7,0,88,53,12.57,162,54.32,0,1,0,11,0,INDIA
295,U Chatterjee ,1995-1995,3,2,1,6,3*,6.00,30,20.00,0,0,0,0,0,INDIA
296,CPS Chauhan ,1978-1981,7,7,0,153,46,21.85,301,50.83,0,0,0,6+,0+,INDIA
297,RK Chauhan ,1993-1997,35,18,5,132,32,10.15,171,77.19,0,0,4,5,4,INDIA
298,PP Chawla ,2007-2011,25,12,5,38,13*,5.42,58,65.51,0,0,1,3,0,INDIA
299,N Chopra ,1998-2000,39,26,6,310,61,15.50,498,62.24,0,1,1,15,5,INDIA
300,V Dahiya ,2000-2001,19,15,2,216,51,16.61,267,80.89,0,1,2,18,3,INDIA
301,SS Das ,2001-2002,4,4,1,39,30,13.00,77,50.64,0,0,0,2,1,INDIA
302,D Dasgupta ,2001-2001,5,4,1,51,24*,17.00,82,62.19,0,0,1,6,0,INDIA
303,NA David ,1997-1997,4,2,2,9,8*,-,10,90.00,0,0,0,0,0,INDIA
304,P Dharmani ,1996-1996,1,1,0,8,8,8.00,8,100.00,0,0,0,0,0,INDIA
305,R Dhawan ,2016-2016,3,2,1,12,9,12.00,13,92.30,0,0,0,1,0,INDIA
306,S Dhawan ,2010-2021,145,142,8,6105,143,45.55,6509,93.79,17,33,5,763,72,INDIA
307,MS Dhoni ,2004-2019,347,294,83,10599,183*,50.23,12164,87.13,9,73,10,809,222,INDIA
308,SS Dighe ,2000-2001,23,17,6,256,94*,23.27,421,60.80,0,1,1,11,2,INDIA
309,AB Dinda ,2010-2013,13,5,0,21,16,4.20,36,58.33,0,0,2,1,0,INDIA
310,DR Doshi ,1980-1982,15,5,2,9,5*,3.00,20,45.00,0,0,2,0,0,INDIA
311,R Dravid ,1996-2011,340,314,39,10768,153,39.15,15127,71.18,12,82,13,942,42,INDIA
312,S Dube ,2019-2019,1,1,0,9,9,9.00,6,150.00,0,0,0,1,0,INDIA
313,FM Engineer ,1974-1975,5,4,1,114,54*,38.00,195,58.46,0,1,0,13,0,INDIA
314,FY Fazal ,2016-2016,1,1,1,55,55*,-,61,90.16,0,1,0,7,1,INDIA
315,AD Gaekwad ,1975-1987,15,14,1,269,78*,20.69,509,52.84,0,1,2,15+,0+,INDIA
316,G Gambhir ,2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17,INDIA
317,DJ Gandhi ,1999-2000,3,3,0,49,30,16.33,97,50.51,0,0,0,8,0,INDIA
318,D Ganesh ,1997-1997,1,1,0,4,4,4.00,8,50.00,0,0,0,0,0,INDIA
319,SC Ganguly ,1992-2007,308,297,23,11221,183,40.95,15235,73.65,22,71,16,1104,189,INDIA
320,RS Gavaskar ,2004-2004,11,10,2,151,54,18.87,234,64.52,0,1,0,8,2,INDIA
321,SM Gavaskar ,1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,234+,21+,INDIA
322,RS Ghai ,1984-1986,6,1,0,1,1,1.00,3,33.33,0,0,0,0,0,INDIA
323,KD Ghavri ,1975-1981,19,16,6,114,20,11.40,194,58.76,0,0,1,8+,0+,INDIA
324,MS Gony ,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
325,K Gowtham ,2021-2021,1,1,0,2,2,2.00,3,66.66,0,0,0,0,0,INDIA
326,Gurkeerat Singh ,2016-2016,3,3,1,13,8,6.50,13,100.00,0,0,0,2,0,INDIA
327,Gursharan Singh ,1990-1990,1,1,0,4,4,4.00,10,40.00,0,0,0,0,0,INDIA
328,Harbhajan Singh ,1998-2015,234,126,35,1213,49,13.32,1502,80.75,0,0,17,90,34,INDIA
329,Harvinder Singh ,1997-2001,16,5,1,6,3*,1.50,19,31.57,0,0,1,0,0,INDIA
330,ND Hirwani ,1988-1992,18,7,3,8,4,2.00,29,27.58,0,0,2,0,0,INDIA
331,Ishan Kishan ,2021-2021,2,2,0,60,59,30.00,46,130.43,0,1,0,8,2,INDIA
332,SS Iyer ,2017-2021,22,20,1,813,103,42.78,810,100.37,1,8,0,81,17,INDIA
333,A Jadeja ,1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10,366,85,INDIA
334,RA Jadeja ,2009-2020,168,113,39,2411,87,32.58,2769,87.07,0,13,6,178,49,INDIA
335,KM Jadhav ,2014-2020,73,52,19,1389,120,42.09,1367,101.60,2,6,2,141,24,INDIA
336,W Jaffer ,2006-2006,2,2,0,10,10,5.00,23,43.47,0,0,1,2,0,INDIA
337,Joginder Sharma ,2004-2007,4,3,2,35,29*,35.00,30,116.66,0,0,0,5,0,INDIA
338,SB Joshi ,1996-2001,69,45,11,584,61*,17.17,653,89.43,0,1,4,47,17,INDIA
339,M Kaif ,2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,228,9,INDIA
340,AV Kale ,2003-2003,1,1,0,10,10,10.00,22,45.45,0,0,0,1,0,INDIA
341,VG Kambli ,1991-2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4,187,20,INDIA
342,HH Kanitkar ,1997-2000,34,27,8,339,57,17.84,512,66.21,0,1,2,25,1,INDIA
343,N Kapil Dev ,1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13,291+,67+,INDIA
344,AR Kapoor ,1995-2000,17,6,0,43,19,7.16,63,68.25,0,0,3,2,1,INDIA
345,SS Karim ,1997-2000,34,27,4,362,55,15.73,560,64.64,0,1,2,27,2,INDIA
346,KD Karthik ,2004-2019,94,79,21,1752,79,30.20,2392,73.24,0,9,6,176,15,INDIA
347,M Kartik ,2002-2007,37,14,5,126,32*,14.00,178,70.78,0,0,1,10,1,INDIA
348,S Kaul ,2018-2018,3,2,0,1,1,0.50,3,33.33,0,0,1,0,0,INDIA
349,Z Khan ,2000-2012,194,96,31,753,34*,11.58,1041,72.33,0,0,14,65,24,INDIA
350,SC Khanna ,1979-1984,10,10,2,176,56,22.00,265,66.41,0,2,1,16,2,INDIA
351,GK Khoda ,1998-1998,2,2,0,115,89,57.50,185,62.16,0,1,0,11,0,INDIA
352,AR Khurasiya ,1999-2001,12,11,0,149,57,13.54,188,79.25,0,1,1,14,2,INDIA
353,SMH Kirmani ,1976-1986,49,31,13,373,48*,20.72,616,60.55,0,0,2,24+,0+,INDIA
354,V Kohli ,2008-2021,254,245,39,12169,183,59.07,13061,93.17,43,62,13,1140,125,INDIA
355,P Krishnamurthy ,1976-1976,1,1,0,6,6,6.00,13,46.15,0,0,0,-,-,INDIA
356,Kuldeep Yadav ,2017-2021,65,21,12,118,19,13.11,188,62.76,0,0,1,10,0,INDIA
357,DS Kulkarni ,2014-2016,12,2,2,27,25*,-,28,96.42,0,0,0,2,1,INDIA
358,NM Kulkarni ,1997-1998,10,5,3,11,5*,5.50,20,55.00,0,0,1,0,0,INDIA
359,RR Kulkarni ,1983-1987,10,5,3,33,15,16.50,39,84.61,0,0,0,3,0,INDIA
360,B Kumar ,2012-2021,119,54,16,548,53*,14.42,736,74.45,0,1,8,46,8,INDIA
361,P Kumar ,2007-2012,68,33,12,292,54*,13.90,331,88.21,0,1,2,25,7,INDIA
362,T Kumaran ,1999-2000,8,3,0,19,8,6.33,27,70.37,0,0,0,2,0,INDIA
363,A Kumble ,1990-2007,269,134,47,903,26,10.37,1481,60.97,0,0,18,52,6,INDIA
364,A Kuruvilla ,1997-1997,25,11,4,26,7,3.71,43,60.46,0,0,1,1,1,INDIA
365,R Lamba ,1986-1989,32,31,2,783,102,27.00,1166,67.15,1,6,2,63+,9+,INDIA
366,VVS Laxman ,1998-2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3,222,4,INDIA
367,S Madan Lal ,1974-1987,67,35,14,401,53*,19.09,645,62.17,0,1,1,25+,3+,INDIA
368,AO Malhotra ,1982-1986,20,19,4,457,65,30.46,645,70.85,0,1,0,29+,1+,INDIA
369,Maninder Singh ,1983-1993,59,18,14,49,8*,12.25,90,54.44,0,0,1,1,0,INDIA
370,SV Manjrekar ,1988-1996,74,70,10,1994,105,33.23,3101,64.30,1,15,3,99,10,INDIA
371,AV Mankad ,1974-1974,1,1,0,44,44,44.00,61,72.13,0,0,0,3,0,INDIA
372,JJ Martin ,1999-2001,10,8,1,158,39,22.57,331,47.73,0,0,1,15,0,INDIA
373,PL Mhambrey ,1996-1998,3,1,1,7,7*,-,5,140.00,0,0,0,1,0,INDIA
374,A Mishra ,2003-2016,36,11,3,43,14,5.37,82,52.43,0,0,2,4,0,INDIA
375,A Mithun ,2010-2011,5,3,0,51,24,17.00,55,92.72,0,0,0,2,4,INDIA
376,Mohammed Shami ,2013-2020,79,38,17,161,25,7.66,194,82.98,0,0,5,12,7,INDIA
377,Mohammed Siraj ,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
378,DS Mohanty ,1997-2001,45,11,6,28,18*,5.60,57,49.12,0,0,3,1,0,INDIA
379,D Mongia ,2001-2007,57,51,7,1230,159*,27.95,1721,71.47,1,4,4,122,8,INDIA
380,NR Mongia ,1994-2000,140,96,33,1272,69,20.19,1845,68.94,0,2,4,95,8,INDIA
381,KS More ,1984-1993,94,65,22,563,42*,13.09,808,69.67,0,0,5,43+,4+,INDIA
382,SP Mukherjee ,1990-1991,3,1,1,2,2*,-,2,100.00,0,0,0,0,0,INDIA
383,SS Naik ,1974-1974,2,2,0,38,20,19.00,68,55.88,0,0,0,3,0,INDIA
384,KK Nair ,2016-2016,2,2,0,46,39,23.00,88,52.27,0,0,0,6,0,INDIA
385,T Natarajan ,2020-2021,2,1,1,0,0*,-,0,-,0,0,0,0,0,INDIA
386,SV Nayak ,1981-1982,4,1,0,3,3,3.00,19,15.78,0,0,0,0,0,INDIA
387,AM Nayar ,2009-2009,3,1,1,0,0*,-,7,0.00,0,0,0,0,0,INDIA
388,A Nehra ,2001-2011,117,45,21,140,24,5.83,244,57.37,0,0,9,12,3,INDIA
389,NV Ojha ,2010-2010,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0,INDIA
390,PP Ojha ,2008-2012,18,10,8,46,16*,23.00,112,41.07,0,0,0,3,0,INDIA
391,GK Pandey ,1999-1999,2,2,1,4,4*,4.00,11,36.36,0,0,1,0,0,INDIA
392,MK Pandey ,2015-2021,29,24,7,566,104*,33.29,625,90.56,1,2,2,45,5,INDIA
393,CS Pandit ,1986-1992,36,23,9,290,33*,20.71,400,72.50,0,0,2,16+,0+,INDIA
394,HH Pandya ,2016-2021,63,46,7,1286,92*,32.97,1100,116.90,0,7,4,93,54,INDIA
395,KH Pandya ,2021-2021,5,4,2,130,58*,65.00,128,101.56,0,1,0,11,2,INDIA
396,Pankaj Singh ,2010-2010,1,1,1,3,3*,-,3,100.00,0,0,0,0,0,INDIA
397,RR Pant ,2018-2021,18,16,0,529,78,33.06,463,114.25,0,3,1,48,21,INDIA
398,JV Paranjpe ,1998-1998,4,4,1,54,27,18.00,91,59.34,0,0,0,3,1,INDIA
399,GAHM Parkar ,1982-1984,10,10,1,165,42,18.33,332,49.69,0,0,0,11+,0+,INDIA
400,Parvez Rasool ,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
401,AK Patel ,1984-1985,8,2,0,6,6,3.00,11,54.54,0,0,1,0,0,INDIA
402,AR Patel ,2014-2017,38,20,6,181,38,12.92,190,95.26,0,0,3,8,8,INDIA
403,BP Patel ,1974-1979,10,9,1,243,82,30.37,399,60.90,0,1,0,22+,3+,INDIA
404,MM Patel ,2006-2011,70,27,16,74,15,6.72,112,66.07,0,0,4,7,1,INDIA
405,PA Patel ,2003-2012,38,34,3,736,95,23.74,962,76.50,0,4,2,79,7,INDIA
406,RGM Patel ,1988-1988,1,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
407,IK Pathan ,2004-2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7,142,37,INDIA
408,YK Pathan ,2008-2012,57,41,11,810,123*,27.00,713,113.60,2,3,7,62,43,INDIA
409,SM Patil ,1980-1986,45,42,1,1005,84,24.51,1223,82.17,0,9,4,74+,12+,INDIA
410,RR Powar ,2004-2007,31,19,5,163,54,11.64,260,62.69,0,1,0,12,2,INDIA
411,M Prabhakar ,1984-1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8,157+,0+,INDIA
412,BKV Prasad ,1994-2001,161,63,31,221,19,6.90,367,60.21,0,0,8,7,5,INDIA
413,MSK Prasad ,1998-1999,17,11,2,131,63,14.55,225,58.22,0,1,2,11,0,INDIA
414,M Prasidh Krishna ,2021-2021,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0,INDIA
415,CA Pujara ,2013-2014,5,5,0,51,27,10.20,130,39.23,0,0,2,4,0,INDIA
416,AM Rahane ,2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,293,33,INDIA
417,KL Rahul ,2016-2021,38,37,6,1509,112,48.67,1690,89.28,5,9,2,114,36,INDIA
418,SK Raina ,2005-2018,226,194,35,5615,116*,35.31,6005,93.50,5,36,14,476,120,INDIA
419,LS Rajput ,1985-1987,4,4,1,9,8,3.00,31,29.03,0,0,2,0,0,INDIA
420,SLV Raju ,1990-1996,53,16,8,32,8,4.00,67,47.76,0,0,4,1,0,INDIA
421,WV Raman ,1988-1996,27,27,1,617,114,23.73,1109,55.63,1,3,6,47,5,INDIA
422,S Ramesh ,1999-1999,24,24,1,646,82,28.08,1092,59.15,0,6,3,70,1,INDIA
423,N Rana ,2021-2021,1,1,0,7,7,7.00,14,50.00,0,0,0,0,0,INDIA
424,Randhir Singh ,1981-1983,2,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
425,V Rathour ,1996-1997,7,7,0,193,54,27.57,331,58.30,0,2,0,16,1,INDIA
426,A Ratra ,2002-2002,12,8,1,90,30,12.85,127,70.86,0,0,0,8,0,INDIA
427,SS Raul ,1998-1998,2,2,0,8,8,4.00,14,57.14,0,0,1,0,0,INDIA
428,AT Rayudu ,2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,145,30,INDIA
429,V Razdan ,1989-1990,3,3,1,23,18,11.50,27,85.18,0,0,0,3,0,INDIA
430,B Reddy ,1978-1981,3,2,2,11,8*,-,20,55.00,0,0,0,1,0,INDIA
431,WP Saha ,2010-2014,9,5,2,41,16,13.66,56,73.21,0,0,0,5,0,INDIA
432,NA Saini ,2019-2021,8,5,3,107,45,53.50,137,78.10,0,0,0,9,3,INDIA
433,C Sakariya ,2021-2021,1,1,1,0,0*,-,1,0.00,0,0,0,0,0,INDIA
434,AM Salvi ,2003-2003,4,3,1,4,4*,2.00,14,28.57,0,0,2,0,0,INDIA
435,SV Samson ,2021-2021,1,1,0,46,46,46.00,46,100.00,0,0,0,5,1,INDIA
436,BS Sandhu ,1982-1984,22,7,3,51,16*,12.75,97,52.57,0,0,2,2+,1+,INDIA
437,RL Sanghvi ,1998-1998,10,2,0,8,8,4.00,11,72.72,0,0,1,0,1,INDIA
438,Sarandeep Singh ,2002-2003,5,4,1,47,19,15.66,73,64.38,0,0,0,6,0,INDIA
439,V Sehwag ,1999-2013,241,235,9,7995,219,35.37,7655,104.44,15,37,14,1092,131,INDIA
440,TAP Sekhar ,1983-1985,4,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
441,V Shankar ,2019-2019,12,8,1,223,46,31.85,246,90.65,0,0,0,20,4,INDIA
442,AK Sharma ,1988-1993,31,27,6,424,59*,20.19,469,90.40,0,3,2,26+,9+,INDIA
443,C Sharma ,1983-1994,65,35,16,456,101*,24.00,504,90.47,1,0,3,31,4,INDIA
444,G Sharma ,1985-1987,11,2,0,11,7,5.50,24,45.83,0,0,0,0,0,INDIA
445,I Sharma ,2007-2016,80,28,13,72,13,4.80,203,35.46,0,0,5,6,0,INDIA
446,KV Sharma ,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
447,MM Sharma ,2013-2015,26,9,5,31,11,7.75,66,46.96,0,0,1,5,0,INDIA
448,PH Sharma ,1976-1976,2,2,0,20,14,10.00,39,51.28,0,0,0,-,-,INDIA
449,R Sharma ,2011-2012,4,1,0,1,1,1.00,2,50.00,0,0,0,0,0,INDIA
450,RG Sharma ,2007-2021,227,220,32,9205,264,48.96,10354,88.90,29,43,13,832,244,INDIA
451,SK Sharma ,1988-1990,23,12,4,80,28,10.00,135,59.25,0,0,2,4,0,INDIA
452,RJ Shastri ,1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,206+,25+,INDIA
453,PP Shaw ,2020-2021,6,6,0,189,49,31.50,166,113.85,0,0,0,32,2,INDIA
454,Shubman Gill ,2019-2020,3,3,0,49,33,16.33,71,69.01,0,0,0,5,1,INDIA
455,LR Shukla ,1999-1999,3,2,0,18,13,9.00,19,94.73,0,0,0,1,0,INDIA
456,NS Sidhu ,1987-1998,136,127,8,4413,134*,37.08,6329,69.72,6,33,7,335,44,INDIA
457,RP Singh ,1986-1986,2,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
458,RP Singh ,2005-2011,58,20,10,104,23,10.40,242,42.97,0,0,3,5,1,INDIA
459,RR Singh ,1989-2001,136,113,23,2336,100,25.95,3144,74.30,1,9,5,135+,41+,INDIA
460,VRV Singh ,2006-2006,2,1,0,8,8,8.00,13,61.53,0,0,0,1,0,INDIA
461,L Sivaramakrishnan ,1985-1987,16,4,2,5,2*,2.50,24,20.83,0,0,0,0,0,INDIA
462,RS Sodhi ,2000-2002,18,14,3,280,67,25.45,381,73.49,0,2,0,16,6,INDIA
463,ED Solkar ,1974-1976,7,6,0,27,13,4.50,79,34.17,0,0,1,2,0,INDIA
464,S Somasunder ,1996-1996,2,2,0,16,9,8.00,63,25.39,0,0,0,1,0,INDIA
465,BB Sran ,2016-2016,6,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
466,S Sreesanth ,2005-2011,53,21,10,44,10*,4.00,121,36.36,0,0,3,2,0,INDIA
467,K Srikkanth ,1981-1992,146,145,4,4091,123,29.01,5702,71.74,4,27,11,405+,41+,INDIA
468,J Srinath ,1991-2003,229,121,38,883,53,10.63,1109,79.62,0,1,19,62,17,INDIA
469,TE Srinivasan ,1980-1981,2,2,0,10,6,5.00,35,28.57,0,0,0,0,0,INDIA
470,S Sriram ,2000-2004,8,7,1,81,57,13.50,135,60.00,0,1,1,9,0,INDIA
471,R Sudhakar Rao ,1976-1976,1,1,0,4,4,4.00,14,28.57,0,0,0,-,0,INDIA
472,SR Tendulkar ,1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195,INDIA
473,SN Thakur ,2017-2021,15,8,3,107,30,21.40,74,144.59,0,0,1,9,6,INDIA
474,MK Tiwary ,2008-2015,12,12,1,287,104*,26.09,403,71.21,1,1,0,24,3,INDIA
475,SS Tiwary ,2010-2010,3,2,2,49,37*,-,56,87.50,0,0,0,5,1,INDIA
476,S Tyagi ,2009-2010,4,1,1,1,1*,-,2,50.00,0,0,0,0,0,INDIA
477,JD Unadkat ,2013-2013,7,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
478,RV Uthappa ,2006-2015,46,42,6,934,86,25.94,1031,90.59,0,6,4,107,19,INDIA
479,PS Vaidya ,1995-1996,4,2,0,15,12,7.50,12,125.00,0,0,0,2,0,INDIA
480,DB Vengsarkar ,1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,228+,24+,INDIA
481,S Venkataraghavan ,1974-1983,15,9,4,54,26*,10.80,126,42.85,0,0,2,3,0,INDIA
482,M Venkataramana ,1988-1988,1,1,1,0,0*,-,0,-,0,0,0,0,0,INDIA
483,Y Venugopal Rao ,2005-2006,16,11,2,218,61*,24.22,363,60.05,0,1,2,16,3,INDIA
484,M Vijay ,2010-2015,17,16,0,339,72,21.18,506,66.99,0,1,0,33,3,INDIA
485,R Vijay Bharadwaj ,1999-2002,10,9,4,136,41*,27.20,194,70.10,0,0,1,15,1,INDIA
486,R Vinay Kumar ,2010-2013,31,13,4,86,27*,9.55,146,58.90,0,0,2,5,2,INDIA
487,GR Viswanath ,1974-1982,25,23,1,439,75,19.95,830,52.89,0,2,1,33+,0+,INDIA
488,S Viswanath ,1985-1988,22,12,4,72,23*,9.00,139,51.79,0,0,0,5,0,INDIA
489,AL Wadekar ,1974-1974,2,2,0,73,67,36.50,90,81.11,0,1,0,11,0,INDIA
490,Washington Sundar ,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,INDIA
491,AS Wassan ,1990-1991,9,6,2,33,16,8.25,56,58.92,0,0,1,2,0,INDIA
492,J Yadav ,2016-2016,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,INDIA
493,Jai P Yadav ,2002-2005,12,7,3,81,69,20.25,123,65.85,0,1,2,11,1,INDIA
494,NS Yadav ,1986-1987,7,2,2,1,1*,-,16,6.25,0,0,0,0,0,INDIA
495,SA Yadav ,2021-2021,3,3,1,124,53,62.00,101,122.77,0,1,0,18,0,INDIA
496,UT Yadav ,2010-2018,75,24,14,79,18*,7.90,134,58.95,0,0,4,8,1,INDIA
497,V Yadav ,1992-1994,19,12,2,118,34*,11.80,116,101.72,0,0,2,7,2,INDIA
498,Yashpal Sharma ,1978-1985,42,40,9,883,89,28.48,1401,63.02,0,4,0,52+,10+,INDIA
499,B Yograj Singh ,1980-1981,6,4,2,1,1,0.50,12,8.33,0,0,1,0,0,INDIA
500,T Yohannan ,2002-2002,3,2,2,7,5*,-,11,63.63,0,0,0,0,0,INDIA
501,Yuvraj Singh ,2000-2017,301,275,39,8609,150,36.47,9846,87.43,14,52,18,896,153,INDIA
502,JC Adams ,1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7,148,3,WEST INDIES
503,FA Allen ,2018-2021,17,13,3,158,51,15.80,137,115.32,0,1,1,16,7,WEST INDIES
504,SW Ambris ,2017-2021,16,15,2,473,148,36.38,494,95.74,1,2,0,54,3,WEST INDIES
505,CEL Ambrose ,1988-2000,176,96,36,639,31*,10.65,985,64.87,0,0,13,39,10,WEST INDIES
506,HAG Anthony ,1995-1995,3,3,0,23,21,7.66,22,104.54,0,0,1,0,2,WEST INDIES
507,KLT Arthurton ,1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12,132,19,WEST INDIES
508,RA Austin ,1978-1978,1,1,0,8,8,8.00,13,61.53,0,0,0,0,0,WEST INDIES
