,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
59,GC Wilson ,2007-2019,105,99,12,2072,113,23.81,2880,71.94,1,12,6,180,21,IRELAND
60,CA Young ,2014-2021,30,17,8,71,12*,7.88,96,73.95,0,0,3,5,2,IRELAND
61,AR Adams ,2001-2007,42,34,10,419,45,17.45,417,100.47,0,0,1,31,18,NEW ZEALAND
62,GW Aldridge ,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-,NEW ZEALAND
63,GI Allott ,1997-2000,31,11,6,17,7*,3.40,56,30.35,0,0,2,0,0,NEW ZEALAND
64,CJ Anderson ,2013-2017,49,45,5,1109,131*,27.72,1020,108.72,1,4,4,86,55,NEW ZEALAND
65,RW Anderson ,1976-1978,2,2,1,16,12,16.00,46,34.78,0,0,0,1+,0,NEW ZEALAND
66,NJ Astle ,1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,720,86,NEW ZEALAND
67,TD Astle ,2017-2019,9,5,2,79,49,26.33,77,102.59,0,0,0,5,2,NEW ZEALAND
68,MD Bailey ,1998-1998,1,-,-,-,-,-,-,-,-,-,-,-,-,NEW ZEALAND
69,MD Bates ,2012-2012,2,1,0,13,13,13.00,10,130.00,0,0,0,1,1,NEW ZEALAND
70,MD Bell ,1998-2001,7,7,0,133,66,19.00,268,49.62,0,1,0,10,0,NEW ZEALAND
71,HK Bennett ,2010-2020,19,7,5,10,4*,5.00,35,28.57,0,0,1,0,0,NEW ZEALAND
72,TE Blain ,1986-1994,38,38,11,442,49*,16.37,662,66.76,0,0,6,27,4,NEW ZEALAND
73,BR Blair ,1982-1986,14,14,2,174,29*,14.50,253,68.77,0,0,2,12,1,NEW ZEALAND
74,TA Blundell ,2020-2020,2,2,0,31,22,15.50,35,88.57,0,0,0,4,0,NEW ZEALAND
75,SE Bond ,2002-2010,82,40,22,292,31*,16.22,384,76.04,0,0,2,19,9,NEW ZEALAND
76,SL Boock ,1978-1987,14,7,4,30,12,10.00,31,96.77,0,0,1,2,1,NEW ZEALAND
77,TA Boult ,2012-2021,93,40,23,159,21*,9.35,213,74.64,0,0,1,15,6,NEW ZEALAND
78,BP Bracewell ,1978-1978,1,1,1,0,0*,-,4,0.00,0,0,0,0,0,NEW ZEALAND
79,DAJ Bracewell ,2011-2019,19,12,2,158,57,15.80,214,73.83,0,1,1,11,3,NEW ZEALAND
80,JG Bracewell ,1983-1990,53,43,12,512,43,16.51,717,71.40,0,0,6,36,3,NEW ZEALAND
81,GE Bradburn ,1990-2001,11,10,3,60,30,8.57,130,46.15,0,0,1,1,0,NEW ZEALAND
82,NT Broom ,2009-2017,39,39,4,943,109*,26.94,1161,81.22,1,5,7,78,12,NEW ZEALAND
83,VR Brown ,1988-1988,3,3,0,44,32,14.66,85,51.76,0,0,0,3,0,NEW ZEALAND
84,DG Brownlie ,2012-2017,16,15,1,361,63,25.78,486,74.27,0,1,0,46,1,NEW ZEALAND
