,Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Debut Year,Last Year,Total Years,Innings per Matches,Not outs per innings,Arithmatic Average of Total Runs by Inns Played
60,60,S Dhawan (INDIA),2010-2021,145,142,8,6105,143,45.55,6509,93.79,17,33,5,763,72,2010,2021,11,0.979310344827586,0.0563380281690141,42.9929577464789
42,42,GC Smith (Afr/SA),2002-2013,197,194,10,6989,141,37.98,8648,80.81,10,47,8,788,44,2002,2013,11,0.984771573604061,0.0515463917525773,36.0257731958763
79,79,Q de Kock (SA),2013-2021,124,124,6,5355,178,45.38,5609,95.47,16,26,4,614,81,2013,2021,8,1,0.0483870967741936,43.1854838709677
75,75,DA Warner (AUS),2009-2020,128,126,6,5455,179,45.45,5710,95.53,18,23,2,571,85,2009,2020,11,0.984375,0.0476190476190476,43.2936507936508
3,3,ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,91.2,28,68,34,1500,270,1989,2011,22,0.973033707865169,0.0415704387990762,31.0161662817552
34,34,Tamim Iqbal (BAN),2007-2021,219,217,9,7666,158,36.85,9753,78.6,14,51,19,831,98,2007,2021,14,0.990867579908676,0.0414746543778802,35.3271889400922
15,15,AC Gilchrist (AUS/ICC),1996-2008,287,279,11,9619,172,35.89,9922,96.94,16,55,19,1162,149,1996,2008,12,0.97212543554007,0.039426523297491,34.4767025089606
27,27,V Sehwag (Asia/ICC/INDIA),1999-2013,251,245,9,8273,219,35.05,7929,104.33,15,38,14,1132,136,1999,2013,14,0.976095617529881,0.036734693877551,33.7673469387755
82,82,AJ Finch (AUS),2013-2020,132,128,3,5232,153*,41.85,5917,88.42,17,29,11,518,126,2013,2020,7,0.96969696969697,0.0234375,40.875
70,70,H Masakadza (ZIM),2001-2019,209,208,4,5658,178*,27.73,7728,73.21,5,34,15,585,86,2001,2019,18,0.995215311004785,0.0192307692307692,27.2019230769231
